Factor Accession No.	Factor Name	Factor Species
T01494	STAT2	human, Homo sapiens
T01493	STAT3	human, Homo sapiens
T01574	STAT3	mouse, Mus musculus
T01577	STAT4	human, Homo sapiens
T01576	STAT4	mouse, Mus musculus
T01581	STAT6	mouse, Mus musculus
T01580	STAT6	human, Homo sapiens
T00790	Tal-1	human, Homo sapiens
T01799	Tal-1	mouse, Mus musculus
T00796	TBP	mouse, Mus musculus
T00794	TBP	human, Homo sapiens
T01002	TCF-1	human, Homo sapiens
T01109	TCF-1(P)	mouse, Mus musculus
T00999	TCF-1A	human, Homo sapiens
T01000	TCF-1B	human, Homo sapiens
T01001	TCF-1C	human, Homo sapiens
T01110	TCF-2	mouse, Mus musculus
T01111	TCF-3	mouse, Mus musculus
T00885	VDR	human, Homo sapiens
T00883	VDR	mouse, Mus musculus
T00902	XBP-1	human, Homo sapiens
T00278	YY1	mouse, Mus musculus
T00915	YY1	human, Homo sapiens
T04970	YY1	rat, Rattus norvegicus
